ZipCode,Region,Division,StateFullName,State,StateANSI,CSA Name,CSA Code,MSA_Name,MSAANSI,County,CountyANSI
99019,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99020,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99021,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99022,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99023,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99025,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99026,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99027,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99029,West,Pacific,Washington,WA,53,,,,,LINCOLN,43
99030,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99031,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99032,West,Pacific,Washington,WA,53,,,,,LINCOLN,43
99033,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99034,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99036,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99037,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99039,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99040,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99101,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99102,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
