id,partner_id,partner_question_id,partner_question_name,question_type,logic_group,order,skipped_answer_id,ignore,behavior,created
84,0,3921,STANDARD_HH_SUFFERER_AILMENTS_I,Multi Punch,health3,3,NULL,0,prefer,2016-07-13 00:10:41
85,0,3922,STANDARD_HH_SUFFERER_AILMENTS_II,Multi Punch,health3,4,NULL,0,prefer,2016-07-13 00:10:41
86,0,4098,RECONTACT_PID_1,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
87,0,4099,RECONTACT_RID_1,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
88,0,4100,RECONTACT_PARAMS_1,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
89,0,4138,RECONTACT_PARAMS_2,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
90,0,4139,RECONTACT_PID_2,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
91,0,4284,RECONTACT_RID_2,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
92,0,4285,RECONTACT_PARAMS_3,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
93,0,4939,RECONTACT_RID,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
94,0,5729,STANDARD_INDUSTRY_PERSONAL,Single Punch,org,3,NULL,0,NULL,2016-07-13 00:10:41
95,0,6259,Standard_Internet_Frequency,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
96,0,7064,Parental_Status_Standard,Multi Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
97,0,7395,Personal Care Shoppper,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
98,0,8211,MS_model_name,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
99,0,8213,MS_is_tablet,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
100,0,8214,MS_is_mobile,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
101,0,14887,STANDARD_HHI_INT,Single Punch,NULL,NULL,NULL,0,prefer,2016-07-13 00:10:41
102,0,15297,STANDARD_JOB_TITLE,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
103,0,17985,STANDARD_CARE_GIVER_I,Multi Punch,health4,1,NULL,0,prefer,2016-07-13 00:10:41
104,0,17986,STANDARD_CARE_GIVER_II,Multi Punch,health4,2,NULL,0,prefer,2016-07-13 00:10:41
105,0,20373,STANDARD_SEXUAL_ORIENTATION_EN,Single Punch,NULL,NULL,NULL,0,prefer,2016-07-13 00:10:41
106,0,20613,STANDARD_AUTO_FUTURE_PURCHASE_20,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
107,0,22405,PIDCheck,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
108,0,22467,STANDARD_NO_OF_EMPLOYEES,Single Punch,org,4,NULL,0,NULL,2016-07-13 00:10:41
109,0,23643,SUPPLIER_CODE,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
110,0,28975,DRIVER_LICENSE,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
111,0,29226,STANDARD_APP_DOWNLOAD,Single Punch,NULL,NULL,NULL,0,qualifier,2016-07-13 00:10:41
112,0,29228,STANDARD_PII,Single Punch,NULL,NULL,NULL,0,qualifier,2016-07-13 00:10:41
113,0,29459,Zappistore - Canada Region,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
114,0,30226,STANDARD_TEEN_PARTICIPATE,Single Punch,children,3,1397,0,NULL,2016-07-13 00:10:41
115,0,30319,STANDARD_CHILD_PARTICIPATE,Single Punch,children,4,1399,0,NULL,2016-07-13 00:10:41
116,0,30321,STANDARD_TEEN_ANSWER_FORWARD,Single Punch,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
117,0,30396,STANDARD_GROCERY_SHOPPER,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
118,0,31394,Install Software ,Single Punch,NULL,NULL,NULL,0,qualifier,2016-07-13 00:10:41
119,0,32322,STANDARD_GAMING_PLATFORMS_2015,Multi Punch,gaming,1,NULL,0,NULL,2016-07-13 00:10:41
